date,feature_index,NO2
2021-06-01T00:00:00.000Z,0,
2021-05-29T00:00:00.000Z,0,3.9392323482648604E-5
2021-06-05T00:00:00.000Z,0,2.881613844302982E-5
2021-06-22T00:00:00.000Z,0,3.419370360851255E-5
2021-06-23T00:00:00.000Z,0,1.2224604688526597E-5
2021-06-25T00:00:00.000Z,0,1.9115976715511352E-5
2021-06-28T00:00:00.000Z,0,
2021-06-26T00:00:00.000Z,0,2.9534722346267828E-5
2021-06-29T00:00:00.000Z,0,2.4114431133576935E-5
2021-06-24T00:00:00.000Z,0,
2021-06-27T00:00:00.000Z,0,1.95557289381603E-5
